"","price","unit_size","land_size","age","todt","sales_year"
"318",325231,180.789245605469,278.709014892578,50,0,2005
"319",296000,130.064193725586,85.4707565307617,12,0,2006
"320",388500,98.7558898925781,541.62451171875,48,0,2003
"321",410000,118.544227600098,232.257507324219,86,0,2006
"322",135000,175.586669921875,180.696334838867,1,0,2004
"323",260000,53.5121269226074,181.160842895508,93,0,2008
"324",1550000,425.867340087891,928.658386230469,27,1,2012
"325",630000,222.967193603516,374.863616943359,3,0,2004
"326",160000,93.6462249755859,66.8901596069336,13,0,2003
"327",530000,152.360916137695,371.611999511719,18,0,2011
"328",640000,153.661560058594,960.524108886719,107,0,2006
"329",3e+05,116.128753662109,103.679748535156,9,0,2004
"330",615000,159.42155456543,464.515014648438,57,0,2012
"331",355000,271.741271972656,404.128051757812,0,0,2006
"332",275000,161.465408325195,409.516418457031,105,0,2004
"333",365000,115.199722290039,89.186882019043,19,0,2006
"334",448000,107.024253845215,334.450805664062,86,0,2006
"335",360000,143.999649047852,119.380355834961,5,0,2006
"336",515000,221.109146118164,255.483245849609,5,0,2005
"337",250000,151.431884765625,278.709014892578,35,0,2005
"338",544763,213.676895141602,243.870376586914,1,0,2006
"339",243500,187.292449951172,209.031753540039,0,0,2003
"340",544763,203.457565307617,243.870376586914,2,0,2006
"341",465000,191.194366455078,174.750549316406,20,0,2007
"342",428922,188.221481323242,220.737533569336,1,0,2006
"343",340000,118.915840148926,249.723266601562,36,0,2006
"344",499500,199.741455078125,243.870376586914,10,0,2006
"345",225000,107.024253845215,260.128387451172,79,0,2004
"346",262650,148.644805908203,117.429389953613,12,0,2003
"347",299990,85.4707565307617,232.257507324219,104,0,2005
"348",432000,148.644805908203,260.871612548828,28,0,2006
"349",544763,213.676895141602,243.870376586914,2,0,2006
"350",499999,213.676895141602,253.625183105469,2,0,2006
"351",651680,169.455078125,379.044250488281,2,0,2007
"352",273780,143.256423950195,348.386260986328,83,0,2008
"353",286962,172.892486572266,209.031753540039,1,0,2003
"354",81000,130.064193725586,464.515014648438,69,0,2004
"355",372000,185.991806030273,376.257141113281,28,0,2003
"356",265000,115.942947387695,61.9663009643555,14,0,2004
"357",380000,160.164764404297,170.291198730469,8,0,2006
"358",540000,219.715591430664,232.257507324219,4,0,2006
"359",334750,106.281028747559,206.430465698242,38,0,2008
"360",380000,140.469329833984,165.738952636719,4,0,2005
"361",525000,93.6462249755859,568.566345214844,61,0,2011
"362",222040,176.980209350586,320.515350341797,89,0,2009
"363",376194,146.322219848633,157.470581054688,2,0,2006
"364",335000,97.5481491088867,66.3327407836914,12,0,2005
"365",425000,204.851119995117,541.810302734375,34,0,2004
"366",510000,215.163345336914,287.348968505859,3,0,2009
"367",263640,163.880889892578,109.253929138184,2,0,2003
"368",305000,148.644805908203,100.706855773926,18,0,2010
"369",409000,89.186882019043,371.611999511719,50,0,2010
"370",309270,130.528717041016,118.451324462891,2,0,2004
"371",164772,75.8088455200195,42.6424751281738,22,0,2010
"372",90000,152.175109863281,216.278182983398,26,0,2003
"373",304200,125.233245849609,94.2036437988281,16,0,2005
"374",545000,238.110382080078,263.380004882812,6,0,2005
"375",325000,93.6462249755859,418.063507080078,48,0,2003
"376",1700000,269.418701171875,966.191223144531,71,1,2006
"377",370000,194.910491943359,180.510528564453,37,0,2007
"378",260000,106.838447570801,46.4514999389648,12,0,2003
"379",487000,141.955780029297,613.159790039062,80,0,2010
"380",465000,225.01106262207,270.533538818359,25,0,2006
"381",174307,83.6127014160156,130.064193725586,1,0,2003
"382",349000,148.644805908203,110.461669921875,19,0,2006
"383",285000,96.9907302856445,177.444732666016,96,0,2006
"384",445146,221.294952392578,351.637847900391,1,0,2003
"385",376300,117.057777404785,125.419052124023,32,0,2007
"386",295000,167.225402832031,220.644622802734,33,0,2003
"387",338000,343.555297851562,507.993591308594,104,0,2005
"388",435000,170.941513061523,209.031753540039,12,0,2006
"389",549000,108.139091491699,441.289245605469,49,0,2004
"390",208000,101.078460693359,156.169937133789,14,0,2004
"391",330000,222.967193603516,241.547805786133,26,0,2006
"392",230000,130.807418823242,119.194549560547,16,0,2003
"393",519307,256.412292480469,244.334884643555,1,0,2006
"394",465000,171.68473815918,371.611999511719,39,0,2009
"395",545000,230.02783203125,418.063507080078,41,0,2006
"396",385000,142.884811401367,650.320983886719,75,0,2005
"397",432600,176.515701293945,232.257507324219,26,0,2006
"398",105000,245.263916015625,231.885894775391,13,0,2006
"399",2e+05,225.01106262207,239.968444824219,21,0,2006
"400",317000,111.11198425293,372.355224609375,44,0,2004
"401",499000,162.58024597168,371.611999511719,73,0,2003
"402",412000,140.469329833984,523.972900390625,83,0,2003
"403",291018,203.457565307617,209.031753540039,2,0,2003
"404",120000,187.292449951172,208.938842773438,0,0,2003
"405",168750,130.064193725586,230.399444580078,11,0,2004
"406",325000,172.242156982422,171.406036376953,18,0,2004
"407",335000,159.42155456543,120.773902893066,20,0,2007
"408",499990,197.69758605957,371.611999511719,36,0,2006
"409",325000,93.6462249755859,353.031402587891,48,0,2008
"410",650000,270.533538818359,459.591156005859,38,0,2008
"411",320000,124.490020751953,120.309387207031,15,0,2005
"412",323000,169.640884399414,194.167266845703,29,0,2012
"413",410000,186.177612304688,353.031402587891,19,0,2006
"414",250000,137.496444702148,80.8256072998047,14,0,2004
"415",540000,84.7275390625,577.392150878906,45,0,2005
"416",645000,266.074188232422,465.629821777344,50,0,2005
"417",442000,136.753219604492,232.257507324219,10,0,2004
"418",420000,158.95703125,241.547805786133,23,0,2007
"419",405000,169.455078125,222.967193603516,10,0,2006
"420",499902,172.799575805664,204.386596679688,1,0,2006
"421",295000,140.28352355957,52.0256805419922,10,0,2006
"422",350000,139.354507446289,210.146591186523,19,0,2006
"423",290000,110.368766784668,132.851287841797,23,0,2009
"424",440000,190.172439575195,369.568145751953,40,0,2005
"425",520000,105.537811279297,771.094909667969,41,0,2006
"426",265000,220.737533569336,197.418869018555,72,0,2003
